,station_id,elevation,lat,lon,original_id
253,Freiberg_4,416.0,50.9263,13.2711,1441
254,Freiburg_5,236.46,48.0232,7.8343,1443
255,Freiburg/Elbe_1,2.0,53.8277,9.2493,1451
256,Freihung-Großschönbrunn_2,492.0,49.5747,11.8859,1458
257,Freudenstadt_2,796.54,48.4538,8.409,1468
258,Freystadt-Michelbach_3,414.0,49.1869,11.308,1473
259,Goldenbow_3,52.0,53.5389,11.7607,1495
260,Friedrichswalde_5,74.0,53.0238,13.7088,1497
261,Friesoythe-Altenoythe_3,5.73,53.0643,7.902,1503
262,Marklkofen (Betriebsstelle Vilstalsee)_2,400.0,48.5587,12.5719,1511
263,Fulda-Horas_16,242.0,50.5668,9.6532,1526
264,Gangkofen (Kläranlage)_3,498.0,48.4327,12.5714,1542
265,Gardelegen_2,47.0,52.5129,11.3942,1544
266,Garmisch-Partenkirchen_2,719.25,47.483,11.0621,1550
267,Gedern-Schönhausen_6,414.0,50.4034,9.2076,1561
268,Geisa_5,281.1,50.7133,9.9539,1573
269,Geisenfeld-Eichelberg_7,395.0,48.6516,11.5845,1578
270,Geisenheim_11,110.2,49.9859,7.9548,1580
271,Geisingen_2,673.0,47.9242,8.6474,1584
272,Gelbelsee_3,536.0,48.9481,11.4289,1587
273,Geldern-Walbeck_3,37.0,51.4942,6.2463,1590
274,Gelsenkirchen-Buer_6,91.0,51.5762,7.0652,1595
275,Oberbachheim_6,328.0,50.248,7.7456,1598
276,Ohlsbach_4,177.0,48.433,7.993,1602
277,Genthin_6,35.0,52.3875,12.1602,1605
278,Georgensgmünd_4,343.5,49.1934,11.0267,1607
279,Gera-Leumnitz_5,311.0,50.8812,12.1289,1612
280,Gießen/Wettenberg_8,203.2,50.6017,8.6439,1639
281,Gilching_5,550.0,48.1085,11.2781,1642
282,Gilserberg-Moischeid_4,340.0,50.9656,9.05,1645
283,Henschtal_1,250.0,49.4648,7.4111,1650
284,Borrentin-Wolkwitz_6,43.0,53.808,12.9607,1669
285,Gößweinstein_13,441.0,49.7656,11.3062,1689
286,Göttingen_3,167.42,51.5002,9.9507,1691
287,Goldberg_4,58.0,53.6058,12.1034,1694
288,Gottmadingen_2,438.0,47.7344,8.7932,1711
289,Grabow (Kläranlage Fahlenkamp)_4,28.0,53.2651,11.5042,1717
