;snw_dth;snw_lpt;snw_aim;snw_pim;snw_mlt;sl0_mse;sl1_mse;sl0_prf;sl0_arf;sl1_etn;urr_dth;lrr_dth;urr_rnf;urr_pln;lrr_rnf;rnf_sfc;rnf_gnd;mod_bal
2001-03-16;0.000000;0.170165;0.000000;0.000000;0.000000;40.662670;179.433533;0.170165;0.150257;1.192149;8.513176;19.729399;2.362971;0.510501;0.227011;2.144760;0.445222;0.000012
2001-03-17;0.000000;2.025374;0.000000;0.000000;0.000000;40.462387;178.594467;2.025374;1.732249;1.332480;8.036492;19.891506;1.816505;0.392428;0.230320;1.700452;0.346373;-0.000007
2001-03-18;0.000000;3.976666;0.000000;0.000000;0.000000;40.580273;178.273712;3.976666;3.352459;0.827078;9.269887;20.035749;1.742608;0.376456;0.232213;1.641708;0.333113;-0.000000
2001-03-19;0.000000;1.374018;0.000000;0.000000;0.000000;40.269917;177.888138;1.374018;1.168222;0.901719;8.046990;20.226633;1.966338;0.424780;0.233897;1.826428;0.373807;0.000007
2001-03-20;2.153482;0.000000;0.000000;0.000000;0.000000;39.763962;177.985672;0.000000;0.000000;0.408421;5.991296;20.355694;1.690509;0.365185;0.236125;1.602680;0.323954;-0.000000
2001-03-21;0.000000;9.856853;2.153482;0.000000;2.153482;41.598339;177.389618;12.010336;9.623252;1.148762;13.894452;20.423626;1.414532;0.305564;0.237632;1.378142;0.274022;-0.000001
2001-03-22;0.000000;4.854855;0.000000;0.000000;0.000000;41.446129;176.895477;4.854855;4.437385;1.063809;14.694953;20.831264;2.990821;0.646064;0.238425;2.669333;0.559913;0.000011
2001-03-23;0.000000;10.468591;0.000000;0.000000;0.000000;41.839489;176.063492;10.468591;9.466537;1.440669;20.221083;21.288034;3.240455;0.699953;0.243183;2.878107;0.605531;0.000009
2001-03-24;0.000000;6.591451;0.000000;0.000000;0.000000;41.673744;175.485336;6.591451;6.127188;1.208166;20.946526;21.971460;4.314707;0.931942;0.248516;3.917597;0.800721;-0.000002
2001-03-25;0.000000;2.488503;0.000000;0.000000;0.000000;41.230530;174.955460;2.488503;2.286575;1.175013;17.631908;22.660830;4.379540;0.945864;0.256494;4.098755;0.813066;0.000008
2001-03-26;0.000000;0.239836;0.000000;0.000000;0.000000;40.632549;175.226181;0.239836;0.213602;0.353485;13.337278;23.196953;3.707565;0.800666;0.264542;3.280299;0.691808;0.000010
2001-03-27;0.000000;0.909577;0.000000;0.000000;0.000000;40.138798;174.962433;0.909577;0.776256;0.890823;10.691314;23.533909;2.814465;0.607755;0.270800;2.554944;0.530321;-0.000002
2001-03-28;0.000000;10.742960;0.000000;0.000000;0.000000;41.355450;174.204147;10.742960;8.846820;1.437772;16.632870;23.775105;2.389333;0.515930;0.274734;2.210546;0.453521;0.000003
2001-03-29;0.000000;2.414957;0.000000;0.000000;0.000000;40.913765;173.862854;2.414957;2.169876;1.028058;14.511293;24.259632;3.529376;0.762078;0.277550;3.146470;0.660456;-0.000000
2001-03-30;0.000000;0.093784;0.000000;0.000000;0.000000;40.226322;173.292313;0.093784;0.081666;1.270096;10.884613;24.634922;3.049850;0.658496;0.283206;2.759137;0.573919;0.000007
2001-03-31;0.000000;0.000000;0.000000;0.000000;0.000000;39.491699;172.196472;0.000000;0.000000;1.830465;8.104291;24.841022;2.286636;0.493686;0.287587;2.138377;0.435846;-0.000002
2001-04-01;0.000000;0.000000;0.000000;0.000000;0.000000;38.716797;170.974609;0.000000;0.000000;1.996758;6.034173;24.918600;1.702546;0.367572;0.289993;1.662431;0.330109;0.000008
2001-04-02;0.000000;0.584918;0.000000;0.000000;0.000000;38.033642;169.399368;0.584918;0.433534;2.409780;4.917833;24.902895;1.274679;0.275194;0.290899;1.312989;0.252589;0.000001
2001-04-03;0.000000;0.714647;0.000000;0.000000;0.000000;37.394821;168.759735;0.714647;0.502860;1.490251;4.154604;24.836985;1.041282;0.224806;0.290715;1.121745;0.210253;-0.000009
2001-04-04;0.000000;5.328240;0.000000;0.000000;0.000000;38.254158;168.175247;5.328240;3.568297;1.485097;6.591391;24.747952;0.930599;0.200912;0.289946;1.030419;0.190126;-0.000003
2001-04-05;0.000000;2.087861;0.000000;0.000000;0.000000;37.936516;167.809219;2.087861;1.494125;1.277403;6.372414;24.763227;1.408920;0.304182;0.288907;1.421042;0.276784;0.000003
2001-04-06;0.000000;6.110494;0.000000;0.000000;0.000000;38.817554;167.278641;6.110494;4.267655;1.492367;8.928274;24.778091;1.407844;0.303950;0.289085;1.420327;0.276602;0.000013
2001-04-07;0.000000;2.664178;0.000000;0.000000;0.000000;38.516003;166.865814;2.664178;1.989696;1.388855;8.598186;24.900738;1.907879;0.411905;0.289258;1.829849;0.367288;0.000007
2001-04-08;0.000000;1.554953;0.000000;0.000000;0.000000;37.956188;166.518982;1.554953;1.135147;1.326450;7.514702;25.003988;1.824691;0.393939;0.290690;1.763073;0.352309;0.000001
2001-04-09;0.000000;2.167064;0.000000;0.000000;0.000000;37.623806;166.274826;2.167064;1.515801;1.227794;7.081139;25.058218;1.603240;0.346125;0.291896;1.582894;0.312241;0.000006
2001-04-10;0.000000;4.003225;0.000000;0.000000;0.000000;37.894852;166.055832;4.003225;2.729153;1.222011;7.947779;25.096392;1.531811;0.330702;0.292529;1.525005;0.299336;0.000008
2001-04-11;0.000000;0.341739;0.000000;0.000000;0.000000;37.003452;165.737137;0.341739;0.237911;1.313912;6.150876;25.164711;1.673520;0.361293;0.292974;1.641430;0.325065;0.000011
2001-04-12;0.000000;0.304429;0.000000;0.000000;0.000000;36.127762;165.509796;0.304429;0.197708;1.209753;4.773553;25.150593;1.295376;0.279654;0.293772;1.332594;0.256554;0.000000
2001-04-13;0.000000;0.300807;0.000000;0.000000;0.000000;35.294880;165.647278;0.300807;0.182162;0.814041;3.732804;25.074120;1.005777;0.217134;0.293607;1.095356;0.204028;0.000005
2001-04-14;0.000000;17.482601;0.000000;0.000000;0.000000;41.762604;165.840439;17.482601;9.890135;0.931576;12.474663;24.985289;0.944392;0.203884;0.292714;1.044275;0.192831;0.000006
2001-04-15;0.000000;6.331774;0.000000;0.000000;0.000000;41.117302;165.567932;6.331774;5.854280;1.395292;15.027185;25.279865;2.715504;0.586253;0.291677;2.493266;0.513915;0.000010
2001-04-16;0.000000;4.419523;0.000000;0.000000;0.000000;40.520561;165.465714;4.419523;3.904616;1.213860;15.016470;25.679926;3.220155;0.695177;0.295116;2.909592;0.605679;0.000006
2001-04-17;0.000000;0.908258;0.000000;0.000000;0.000000;39.570450;165.373566;0.908258;0.768910;1.181606;11.934579;26.063831;3.167110;0.683691;0.299786;2.870492;0.596404;0.000000
2001-04-18;0.000000;1.641124;0.000000;0.000000;0.000000;38.843502;165.314011;1.641124;1.296351;1.131268;10.156975;26.305307;2.528211;0.545744;0.304268;2.351598;0.480881;0.000008
2001-04-19;0.000000;0.933018;0.000000;0.000000;0.000000;38.030178;165.311218;0.933018;0.698170;1.050958;8.247034;26.461248;2.145083;0.463027;0.307087;2.040555;0.411615;0.000006
2001-04-20;0.000000;1.224163;0.000000;0.000000;0.000000;37.359032;165.211655;1.224163;0.861150;1.133730;6.984721;26.529320;1.746483;0.376980;0.308908;1.715921;0.339470;-0.000005
2001-04-21;0.000000;1.758213;0.000000;0.000000;0.000000;36.907986;164.955276;1.758213;1.174180;1.291452;6.351702;26.540449;1.486368;0.320831;0.309702;1.503708;0.292361;0.000005
2001-04-22;0.000000;0.000000;0.000000;0.000000;0.000000;35.872353;164.379135;0.000000;0.000000;1.611767;4.729318;26.518639;1.334363;0.288021;0.309832;1.379388;0.264808;0.000006
2001-04-23;0.000000;0.000000;0.000000;0.000000;0.000000;34.831394;163.688751;0.000000;0.000000;1.731337;3.521331;26.423513;0.993533;0.214454;0.309578;1.100126;0.202985;0.000006
2001-04-24;0.000000;11.116703;0.000000;0.000000;0.000000;38.667248;162.599182;11.116703;6.050777;2.319634;8.553499;26.295881;0.837774;0.180835;0.308467;0.971582;0.174659;0.000007
2001-04-25;0.000000;10.230269;0.000000;0.000000;0.000000;40.058121;162.478745;10.230269;7.554249;1.405597;13.774176;26.403193;1.919284;0.414288;0.306977;1.855599;0.370662;-0.000011
2001-04-26;0.000000;3.042150;0.000000;0.000000;0.000000;39.340622;162.348053;3.042150;2.490536;1.399800;12.697379;26.728279;2.934017;0.633315;0.308230;2.687488;0.554759;0.000004
2001-04-27;0.000000;11.501700;0.000000;0.000000;0.000000;40.585526;162.160492;11.501700;8.932176;1.512194;18.210423;27.023239;2.812149;0.606985;0.312025;2.591234;0.532941;-0.000013
2001-04-28;0.000000;5.623875;0.000000;0.000000;0.000000;40.111977;162.071838;5.623875;4.783358;1.402728;18.248226;27.550205;3.903123;0.842433;0.315468;3.487567;0.731024;-0.000011
2001-04-29;0.000000;2.943778;0.000000;0.000000;0.000000;39.310627;161.474503;2.943778;2.419473;1.922985;15.959100;28.064411;3.872773;0.835827;0.321620;3.468419;0.725974;0.000006
2001-04-30;0.000000;0.070873;0.000000;0.000000;0.000000;37.964825;160.191971;0.070873;0.054917;2.644286;11.936720;28.460512;3.353571;0.723725;0.327623;3.048926;0.632268;0.000007
2001-05-01;0.000000;0.000000;0.000000;0.000000;0.000000;36.582203;159.072556;0.000000;0.000000;2.502044;8.887914;28.669411;2.507662;0.541145;0.332247;2.360691;0.479218;-0.000008
2001-05-02;0.000000;0.121539;0.000000;0.000000;0.000000;35.181419;157.263870;0.121539;0.076337;3.254674;6.692660;28.737909;1.868406;0.403185;0.334686;1.839612;0.363480;-0.000003
2001-05-03;0.000000;0.000000;0.000000;0.000000;0.000000;33.723877;156.126755;0.000000;0.000000;2.594661;4.983271;28.705822;1.405992;0.303397;0.335485;1.461789;0.279687;-0.000004
2001-05-04;0.000000;0.008703;0.000000;0.000000;0.000000;32.313248;155.781189;0.008703;0.004310;1.760589;3.714705;28.596634;1.046954;0.225922;0.335111;1.167510;0.214554;-0.000002
2001-05-05;0.000000;0.154419;0.000000;0.000000;0.000000;31.053793;155.943222;0.154419;0.067513;1.184326;2.832103;28.431435;0.781478;0.168637;0.333836;0.948993;0.166321;0.000002
2001-05-06;0.000000;0.470847;0.000000;0.000000;0.000000;30.024555;155.647934;0.470847;0.183297;1.612072;2.288431;28.228559;0.597936;0.129033;0.331907;0.796947;0.132897;0.000005
2001-05-07;0.000000;0.000000;0.000000;0.000000;0.000000;28.743101;155.231262;0.000000;0.000000;1.698127;1.703930;28.002769;0.480753;0.103748;0.329539;0.698819;0.111473;-0.000003
2001-05-08;0.000000;0.000000;0.000000;0.000000;0.000000;27.480034;154.499130;0.000000;0.000000;1.995196;1.268718;27.753119;0.357961;0.077251;0.326903;0.595852;0.089012;0.000002
